time,open,high,low,close,Volume,Volume MA
1396310400,5721448855.46,6926072812,4285204500.28,5699485629.900001,14938879.0403,NaN
1398902400,5701390326,8064347997,5348237083.59,8043847588.999999,8929749.34173,NaN
1401580800,8060872269.4,8772971625.98,6928335770.04,8309173471.55,20381581.8472,NaN
1404172800,8294787200,8539483422.4,7263824113.799999,7605389795.28,11930314.8898,NaN
1406851200,7624989968.28,7934150030.400001,5812595698,6327939239.04,9807645.01389,NaN
1409529600,6327542950.26,6565184122,4865242241.2,5210152212.79,15728349.5764,NaN
1412121600,5189769352.36,5590085402.7,3670577625,4537818927.03,14712683.9653,NaN
1414800000,4537818927.03,6118925575.2,4250773249.17,5110782621.93,17995267.4097,NaN
1417392000,5098311016.37,5191983619,4149696074.9300003,4383733932,15510130.8819,NaN
1420070400,4383733932,4383733932,2089585660.8000002,2984485437,14123618.6597,NaN
1422748800,3005855613.96,3707564034,2874063375.52,3514477892.73,24039192.2083,NaN
1425168000,3520719064.1,4146461994.1499996,3301636629.6,3417869647.52,11442933.4583,NaN
1427846400,3413531539.14,3686912540.1000004,2949291240,3328978235.2,16007181.2128,NaN
1430438400,3332783587.12,3487444031.35,3205071331.35,3254894409.91,19059889.125,NaN
1433116800,3254894409.91,3838248028,3114409692.03,3759478012.5,13467922.2639,NaN
1435708800,3760623758.18,4569460969.74,3614827620.4,4101544127.35,21507553.6111,NaN
1438387200,4106737233.55,4131281611.52,2878301624.64,3345428641.86,17853372.8194,NaN
1441065600,3351104780.25,3590427163.6800003,3257359216,3462301561.3999996,17794559.375,NaN
1443657600,3457464306.89,4940052156.55,3444711545,4578556123.7,13082767.9514,NaN
1446336000,4597481006.799999,7423401304,4355355690,5611520002.17,44707492.3939,17151054.252250995
1448928000,5611371040.9,6981377497.8,5193385717.28,6467812296.84,26893344.0139,17748777.500930995
1451606400,6467812296.84,6992422155,5302860992,5581785922.2300005,109269873.667,22765783.717194494
1454284800,5581785922.2300005,6825223071.87,5528920355,6641240724.96,27612192.7083,23127314.260249496
1456790400,6664434636,6675879000,5828996064,6369975405.84,43215463.5556,24691571.693539493
