time,open,high,low,close,Volume,Volume MA
1546300800,115838474821.32898,116123951935.49362,115399026969.62979,115940123904.56967,12643120172.226473,NaN
1546304400,115926628701.48589,115954609197.9026,115136199470.41936,115365925250.22423,12643120172.226473,NaN
1546308000,115345875310.54964,115394601057.90471,113274955352.43588,115087818288.31203,12643120172.226473,NaN
1546311600,115142889206.03036,115692726569.58678,115115056217.19308,115647421613.76149,12643120172.226473,NaN
1546315200,115685579692.07759,116731270769.7271,115664611053.89888,115908807678.73851,12643120172.226473,NaN
1546318800,115921879189.60654,116278764191.15819,115872334735.51692,116220601821.77722,12643120172.226473,NaN
1546322400,116230524809.59074,117024499706.91559,116194055725.99771,116924136497.0014,12643120172.226473,NaN
1546326000,116939763740.60141,117644576823.5001,116882570115.83575,117172016251.90233,12643120172.226473,NaN
1546329600,117280188200.775,118114979363.29874,117231152601.86598,117835284753.33186,12643120172.226473,NaN
1546333200,117803811202.96985,117835408917.89047,117154845121.78192,117191666330.11867,12643120172.226473,NaN
1546336800,117167858922.82956,117538308679.12935,117136117548.31218,117384072331.13197,12643120172.226473,NaN
1546340400,117513298491.07385,117819065699.55197,117448227355.86714,117508583681.03505,12643120172.226473,NaN
1546344000,117397502714.91318,118623618733.55417,117171844972.55365,118493267717.03267,12643120172.226473,NaN
1546347600,118479276642.17784,119576581341.48578,118223424921.36153,118692503574.18382,12643120172.226473,NaN
1546351200,118460339368.62964,118553918756.05768,117183696475.15158,117894572031.76794,12643120172.226473,NaN
1546354800,117803951065.5033,117868764721.59335,117000417975.7386,117392629278.91887,12643120172.226473,NaN
1546358400,117417698711.87608,117862753176.15599,117136823825.23651,117798033424.56918,12643120172.226473,NaN
1546362000,117818468642.26584,118060504849.59166,117297821118.18864,117587185799.07368,12643120172.226473,NaN
1546365600,117640821265.80144,117651149641.48837,115998850259.58826,116779396162.19289,12643120172.226473,NaN
1546369200,116826909766.04575,118380144735.04668,116782871802.44803,118260245429.88121,12643120172.226473,12643120172.226473
1546372800,118328693574.00705,119876013620.76161,118269500439.64081,119693312665.46407,12643120172.226473,12643120172.226473
1546376400,119546578948.09631,120182572697.46056,119100588107.37697,119159644201.85794,12643120172.226473,12643120172.226473
1546380000,119172695278.91365,119555318132.51851,118884413036.95583,119307559398.38254,12643120172.226473,12643120172.226473
1546383600,119306101284.80891,122703140829.56572,119161839596.99126,122176791243.00737,12643120172.226473,12643120172.226473
1546387200,122209876338.31842,122567205888.11551,121225743567.44824,121608994022.67697,16413182162.497252,12831623271.740011
1546390800,121558368371.58939,121743682525.57796,121092253435.6951,121193722731.62927,16413182162.497252,13020126371.253551
1546394400,121178381646.80365,121546507521.24931,121140419454.09186,121392544788.79617,16413182162.497252,13208629470.76709
1546398000,121414883933.72073,121743961103.69623,121290582977.7754,121334779854.84312,16413182162.497252,13397132570.280628
1546401600,121394619135.0365,121578225287.08223,121112644545.90454,121400886156.24817,16413182162.497252,13585635669.794168
1546405200,121404594540.82047,121515487181.29424,121189769115.37032,121364692693.25806,16413182162.497252,13774138769.307705
1546408800,121394813008.81915,121497834465.61093,120392346451.57976,120857346374.1879,16413182162.497252,13962641868.821243
1546412400,120795641766.96696,121846858686.20255,120718701923.5842,121765793050.60822,16413182162.497252,14151144968.334782
1546416000,121825240746.5402,122824387422.2008,121800685431.07639,122306933224.79916,16413182162.497252,14339648067.848318
1546419600,122270045896.29478,122316979330.29823,121786295683.81908,121854130049.79767,16413182162.497252,14528151167.361856
1546423200,121931361735.23737,123015922102.86678,121742958794.89633,122821619817.28519,16413182162.497252,14716654266.875393
1546426800,122681787888.38177,123603197967.32675,122426588876.99417,123003320976.82077,16413182162.497252,14905157366.388931
