time,open,high,low,close,Volume,Volume MA
440692200,107.06,107.06,107.06,107.06,NaN,NaN
440778600,107.06,109.39,107.06,109.03999,NaN,NaN
440865000,109.03999,111.28,108.79999,111.28,NaN,NaN
440951400,111.28,112.84999,110.62,112.09999,NaN,NaN
441037800,112.09999,112.23999,111.10999,111.45999,NaN,NaN
441383400,111.45999,112.51999,111.23,111.71999,NaN,NaN
441469800,111.71999,111.76999,110.68999,111.50999,NaN,NaN
441556200,111.56,113.01999,111.56,111.93999,NaN,NaN
441642600,111.93999,112.35999,111.34999,111.81999,NaN,NaN
441988200,111.7,111.7,109.71999,110.14999,NaN,NaN
442074600,110.14999,111.17999,108.64,111.17999,NaN,NaN
442161000,111.17999,112.42999,110.82999,111.62999,NaN,NaN
442247400,111.50999,111.50999,107.62999,107.78999,NaN,NaN
442506600,107.71999,107.71999,104,104.28,NaN,NaN
442593000,104.28,107.09,104.28,104.73,NaN,NaN
442679400,104.73,105.45999,103.59999,104.92,NaN,NaN
442765800,105.62999,106.84999,105.62999,106.39999,NaN,NaN
442852200,106.59,108.59,106.59,106.79999,NaN,NaN
443111400,106.70999,106.70999,104.75999,106.23999,NaN,NaN
443197800,106.23999,106.37999,105.2,105.76999,NaN,NaN
443284200,105.76999,106.12,105.62999,105.87999,NaN,NaN
443370600,106.12,109.26999,106.12,109.26999,NaN,NaN
443457000,108.98999,108.98999,107.50999,108.59,NaN,NaN
443716200,108.53999,108.53999,105.81,106.34999,NaN,NaN
443802600,106.34999,106.65999,105.37,106.46999,NaN,NaN
443889000,106.46999,107.17999,105.78999,105.84,NaN,NaN
443975400,105.84,111.78999,105.64999,110.81999,NaN,NaN
444061800,110.81999,112,109.39,109.96999,NaN,NaN
444321000,109.96999,109.96999,106.56999,107.12999,NaN,NaN
444407400,107.14999,120.01999,107.14999,111.89999,NaN,NaN
444493800,112.34999,116.06,112.34999,116.01999,NaN,NaN
444580200,116.10999,119.12,116.10999,119.04999,NaN,NaN
444666600,118.71999,118.71999,117.03,117.46999,NaN,NaN
444925800,117.23999,117.23999,114.43999,115.17,NaN,NaN
445012200,114.76999,114.76999,113.78,113.98999,NaN,NaN
445098600,113.98999,116.98,112.46999,112.98,NaN,NaN
445185000,112.98,113.82999,110.15999,112.10999,NaN,NaN
445271400,112.10999,112.42,111.39,111.95,NaN,NaN
445530600,111.95,112.09,109.45999,109.45999,NaN,NaN
445617000,109.45999,113.81,109.39,113.67,NaN,NaN
445703400,113.67,116.17999,113.54999,114.85999,NaN,NaN
445789800,114.95999,116.56,114.95999,115.18999,NaN,NaN
445876200,115.32999,120.10999,115.32999,120.10999,NaN,NaN
446221800,120.34,123.01999,120.34,123,NaN,NaN
446308200,123.67999,130.37999,123.67999,130.18999,NaN,NaN
446394600,130.18999,131.23,127.89,131.23,NaN,NaN
446481000,131.06,131.06,126.82999,127,NaN,NaN
446740200,127,130.84999,124.17,129.34999,NaN,NaN
446826600,129.34999,129.75,126.40999,126.89999,NaN,NaN
446913000,126.89999,129.67999,126.35999,127.7,NaN,NaN
446999400,127.7,128.07999,125.67999,127.67999,NaN,NaN
447085800,127.67999,130.70999,127.57999,129.81999,NaN,NaN
447345000,130.87,134.79999,130.87,134.79999,NaN,NaN
447431400,134.79999,135.87999,133.90999,134.20999,NaN,NaN
447517800,134.20999,134.20999,130.82999,131.90999,NaN,NaN
447604200,131.90999,134,130.56999,133.31999,NaN,NaN
447690600,133.10999,133.10999,131.81,132.39999,NaN,NaN
447949800,132.39999,132.56,130.37999,130.65999,NaN,NaN
448036200,130.73,132.25999,130.73,131.15999,NaN,NaN
448122600,131.15999,132.39999,129.15999,129.48999,NaN,NaN
448209000,129.48999,129.48999,126.96999,126.96999,NaN,NaN
448295400,126.96999,128.03,125.53999,126.96999,NaN,NaN
448554600,126.96999,128.34,126.03,128.34,NaN,NaN
448641000,128.34,128.70999,126.75999,128.5,NaN,NaN
448727400,128.5,128.5,127.17999,128.09999,NaN,NaN
448813800,128.03,128.03,123.06999,123.06999,NaN,NaN
448900200,123.06999,124.73999,123.06999,124.48,NaN,NaN
449159400,124.48,126.89999,124.42999,126.34,NaN,NaN
449245800,126.34,127.28,125.60999,125.76999,NaN,NaN
449332200,125.76999,130.32999,124.21999,130.32999,NaN,NaN
449418600,130.32999,130.46999,129.37,129.37,NaN,NaN
449505000,129.23,129.23,127.39,127.95999,NaN,NaN
449764200,127.81999,127.81999,123.75,123.92,NaN,NaN
449850600,123.92,124.87999,122.71999,124.75999,NaN,NaN
449937000,124.75999,126.48,124.42999,126.07999,NaN,NaN
450023400,126.07999,126.2,121.98999,121.98999,NaN,NaN
450109800,121.98999,122.92999,121.89,122.82999,NaN,NaN
450369000,122.82999,123.76999,122.00999,123.39999,NaN,NaN
450455400,123.39999,123.84999,122.39,122.39,NaN,NaN
450541800,122.39,123.7,119.92,120.37,NaN,NaN
450628200,120.17999,120.17999,117.23999,119.70999,NaN,NaN
450714600,119.70999,119.84999,118.50999,118.87999,NaN,NaN
450973800,118.64999,118.64999,116.98,118.53,NaN,NaN
451060200,118.53,121.12,118.29999,120.92999,NaN,NaN
451146600,120.92999,124.68999,118.71999,122.57999,NaN,NaN
451233000,122.54999,122.54999,121.18999,121.93999,NaN,NaN
451578600,121.93999,123.65999,121.92,122.10999,NaN,NaN
451665000,121.95999,121.95999,119.93999,120.68999,NaN,NaN
451751400,120.68999,120.98,119.56999,120.17999,NaN,NaN
451837800,119.93999,119.93999,117.46999,117.89999,NaN,NaN
451924200,117.89999,118.2,117.23999,117.5,NaN,NaN
452179800,117.46999,117.46999,115.31,116.62999,NaN,NaN
452266200,116.62999,117.51999,116.2,116.85999,NaN,NaN
452352600,116.85999,118.12999,116.85999,117.59,NaN,NaN
452525400,117.59,117.70999,116.10999,116.2,NaN,NaN
452784600,115.96999,115.96999,112.37,112.37,NaN,NaN
452871000,112.37,113.00999,111.85999,112.73,NaN,NaN
452957400,112.73,113.54999,110.60999,111.17,NaN,NaN
453043800,111.17,113.03,111.17,112.10999,NaN,NaN
453130200,112.10999,112.14,109.81,111.31,NaN,NaN
453389400,111.31,112.98,110.95999,112.93999,NaN,NaN
