time,open,high,low,close,Volume,Volume MA
440692200,107.06,112.84999,107.06,111.45999,NaN,NaN
441297000,111.45999,113.01999,110.68999,111.81999,NaN,NaN
441901800,111.7,112.42999,107.62999,107.78999,NaN,NaN
442506600,107.71999,108.59,103.59999,106.79999,NaN,NaN
443111400,106.70999,109.26999,104.75999,108.59,NaN,NaN
443716200,108.53999,112,105.37,109.96999,NaN,NaN
444321000,109.96999,120.01999,106.56999,117.46999,NaN,NaN
444925800,117.23999,117.23999,110.15999,111.95,NaN,NaN
445530600,111.95,120.10999,109.39,120.10999,NaN,NaN
446135400,120.34,131.23,120.34,127,NaN,NaN
446740200,127,130.84999,124.17,129.81999,NaN,NaN
447345000,130.87,135.87999,130.56999,132.39999,NaN,NaN
447949800,132.39999,132.56,125.53999,126.96999,NaN,NaN
448554600,126.96999,128.70999,123.06999,124.48,NaN,NaN
449159400,124.48,130.46999,124.21999,127.95999,NaN,NaN
449764200,127.81999,127.81999,121.89,122.82999,NaN,NaN
450369000,122.82999,123.84999,117.23999,118.87999,NaN,NaN
450973800,118.64999,124.68999,116.98,121.93999,NaN,NaN
451578600,121.93999,123.65999,117.23999,117.5,NaN,NaN
452179800,117.46999,118.12999,115.31,116.2,NaN,NaN
452784600,115.96999,115.96999,109.81,111.31,NaN,NaN
453389400,111.31,116.75,110.95999,113.95,NaN,NaN
453994200,114.09,115.65999,108,113.35999,NaN,NaN
454599000,113.35999,118.14999,110.29999,116.45999,NaN,NaN
455203800,116.45999,118.92999,112.89,113.42999,NaN,NaN
455808600,113.21999,113.21999,110.06999,110.45,NaN,NaN
456413400,106.34,107.95999,104.06,106.40999,NaN,NaN
457018200,106.12,106.12,100.67,102.07999,NaN,NaN
457623000,102.03999,102.03999,84.79999,88.76999,NaN,NaN
458227800,88.76999,92.59,85.17,88.87999,NaN,NaN
458832600,88.87999,90.5,82.67999,82.95999,NaN,NaN
459437400,82.73,83.78999,78.98999,83.14999,NaN,NaN
460042200,83.14999,96.06999,81.00999,96.06999,NaN,NaN
460647000,96.06999,96.06999,89.37999,92.40999,NaN,NaN
461251800,92.40999,96.51999,91.39999,96.06999,NaN,NaN
461856600,95.73999,95.73999,90.95,93.45999,NaN,NaN
462461400,93.28,93.95999,91.34999,93.50999,NaN,NaN
463066200,93.45999,93.45999,89.18999,89.42,NaN,NaN
463671000,89.53999,92.68999,89.53999,91.93999,NaN,NaN
464275800,91.71999,99.40999,89.89,98.60999,NaN,NaN
464880600,98.60999,99.5,95.43999,97.59999,NaN,NaN
465485400,97.54999,100.53,94.39999,95.10999,NaN,NaN
466090200,95.00999,96.51999,91.43999,96.01999,NaN,NaN
466695000,96.01999,96.48999,93.17999,94.87,NaN,NaN
467299800,94.87,97.03,93.31999,94.82999,NaN,NaN
467908200,94.5,96.60999,90.23999,95.54999,NaN,NaN
468513000,95.62,99.34,95.37,95.68999,NaN,NaN
469117800,95.68999,97.64,93.78,93.95999,NaN,NaN
469722600,93.71999,93.71999,91.89,93.37,NaN,NaN
470327400,93.25,93.25,85.78,87.23999,NaN,NaN
470932200,87.23999,88.40999,81.67,81.76999,NaN,NaN
471537000,81.71999,81.71999,75.48999,75.93999,NaN,NaN
472141800,75.39999,77.64999,71.81,75.48999,NaN,NaN
472746600,75.48999,78.48,74.95,75.81999,NaN,NaN
473351400,75.81999,76.17999,71.48,71.84999,NaN,NaN
473956200,71.84999,76.54999,70.43999,74.87999,NaN,NaN
474561000,74.87999,78.26999,74.14999,77.91,NaN,NaN
475165800,77.95999,79.31999,74.10999,74.67,NaN,NaN
475770600,74.67,83.71999,73.51999,82.04999,NaN,NaN
476375400,81.98,83.59999,79.95999,81.48,NaN,NaN
476980200,81.48,85.17,79.98,83.82999,NaN,NaN
477585000,83.82999,84.09,77.09,77.39999,NaN,NaN
