time,open,high,low,close,Volume,Volume MA
-4322772000,20.65,20.65,20.65,20.65,0,NaN
-4291322400,20.65,20.65,20.65,20.65,0,NaN
-4259872800,20.65,20.65,20.65,20.65,0,NaN
-4228423200,20.65,20.65,20.65,20.65,0,NaN
-4196973600,20.65,20.65,20.65,20.65,0,NaN
-4165524000,20.65,20.65,20.65,20.65,0,NaN
-4070570400,20.65,20.65,20.65,20.65,0,NaN
-4039120800,20.65,20.65,20.65,20.65,0,NaN
-4007671200,20.65,20.65,20.65,20.65,0,NaN
-3976221600,20.65,20.65,20.65,20.65,0,NaN
-3912717600,20.65,20.65,20.65,20.65,0,NaN
-3881268000,20.65,20.65,20.65,20.65,0,NaN
-3849818400,20.65,20.65,20.65,20.65,0,NaN
-3818368800,20.65,20.65,20.65,20.65,0,NaN
-3723415200,20.65,20.65,20.65,20.65,0,NaN
-3691965600,20.65,20.65,20.65,20.65,0,NaN
-3660516000,20.65,20.65,20.65,20.65,0,NaN
-3629066400,20.65,20.65,20.65,20.65,0,NaN
-3565562400,20.65,20.65,20.65,20.65,0,NaN
-3534112800,20.65,20.65,20.65,20.65,0,0
-3502663200,20.65,20.65,20.65,20.65,0,0
-3471213600,20.65,20.65,20.65,20.65,0,0
-3376260000,20.65,20.65,20.65,20.65,0,0
-3344810400,20.65,20.65,20.65,20.65,0,0
-3313360800,20.65,20.65,20.65,20.65,0,0
-3281911200,20.65,20.65,20.65,20.65,0,0
-3186957600,20.65,20.65,20.65,20.65,0,0
-3155508000,20.65,20.65,20.65,20.65,0,0
-3124058400,20.65,20.65,20.65,20.65,0,0
-3092608800,20.66,20.66,20.66,20.66,0,0
-3029104800,20.66,20.66,20.66,20.66,0,0
-2997655200,20.66,20.66,20.66,20.66,0,0
-2966205600,20.66,20.66,20.66,20.66,0,0
-2934756000,20.66,20.66,20.66,20.66,0,0
-2839802400,20.66,20.66,20.66,20.66,0,0
-2808352800,20.66,20.66,20.66,20.66,0,0
-2776903200,20.66,20.66,20.66,20.66,0,0
-2745453600,20.66,20.66,20.66,20.66,0,0
-2681949600,20.66,20.66,20.66,20.66,0,0
-2650500000,20.65,20.65,20.65,20.65,0,0
-2619050400,20.65,20.65,20.65,20.65,0,0
-2587600800,20.65,20.65,20.65,20.65,0,0
-2492647200,20.68,20.68,20.68,20.68,0,0
-2461197600,20.68,20.68,20.68,20.68,0,0
-2429748000,20.68,20.68,20.68,20.68,0,0
-2398298400,20.66,20.66,20.66,20.66,0,0
-2303344800,20.71,20.71,20.71,20.71,0,0
-2271895200,20.71,20.71,20.71,20.71,0,0
-2240445600,20.66,20.66,20.66,20.66,0,0
-2208996000,20.68,20.68,20.68,20.68,0,0
-2114042400,20.67,20.67,20.67,20.67,0,0
-2082592800,20.68,20.68,20.68,20.68,0,0
-2051143200,20.54,20.54,20.54,20.54,0,0
-2019693600,20.62,20.62,20.62,20.62,0,0
-1924740000,20.68,20.68,20.68,20.68,0,0
-1893290400,20.64,20.64,20.64,20.64,0,0
-1861840800,20.64,20.64,20.64,20.64,0,0
-1830391200,20.65,20.65,20.65,20.65,0,0
-1766887200,20.72,20.72,20.72,20.72,0,0
-1735437600,20.72,20.72,20.72,20.72,0,0
-1703988000,20.72,20.72,20.72,20.72,0,0
-1672538400,20.72,20.72,20.72,20.72,0,0
-1577584800,20.68,20.68,20.68,20.68,0,0
-1546135200,20.69,20.69,20.58,20.58,0,0
-1543716000,20.69,20.69,20.69,20.69,0,0
-1541296800,20.69,20.69,20.69,20.69,0,0
-1538877600,20.69,20.69,20.69,20.69,0,0
-1535853600,20.69,20.69,20.69,20.69,0,0
