time,open,high,low,close,Volume,Volume MA
-3121407238,4.5,4.5,4.5,4.5,NaN,NaN
-3118988038,4.61,4.61,4.61,4.61,NaN,NaN
-3113717638,4.86,4.86,4.86,4.86,NaN,NaN
-3111039238,4.82,4.82,4.82,4.82,NaN,NaN
-3105768838,4.79,4.79,4.79,4.79,NaN,NaN
-3103090438,4.84,4.84,4.84,4.84,NaN,NaN
-3097820038,4.64,4.64,4.64,4.64,NaN,NaN
-3095228038,4.74,4.74,4.74,4.74,NaN,NaN
-3092549638,4.86,4.86,4.86,4.86,NaN,NaN
-3089871238,4.88,4.88,4.88,4.88,NaN,NaN
-3087365638,5.04,5.04,5.04,5.04,NaN,NaN
-3084687238,5.18,5.18,5.18,5.18,NaN,NaN
-3082095238,5.18,5.18,5.18,5.18,NaN,NaN
-3076824838,5.1,5.1,5.1,5.1,NaN,NaN
-3074146438,5.04,5.04,5.04,5.04,NaN,NaN
-3068876038,4.97,4.97,4.97,4.97,NaN,NaN
-3066197638,4.95,4.95,4.95,4.95,NaN,NaN
-3060927238,5.11,5.11,5.11,5.11,NaN,NaN
-3053151238,5.04,5.04,5.04,5.04,NaN,NaN
-3050559238,5.05,5.05,5.05,5.05,NaN,NaN
-3045288838,4.97,4.97,4.97,4.97,NaN,NaN
-3042610438,4.97,4.97,4.97,4.97,NaN,NaN
-3039932038,4.59,4.59,4.59,4.59,NaN,NaN
-3037340038,4.19,4.19,4.19,4.19,NaN,NaN
-3032069638,4.42,4.42,4.42,4.42,NaN,NaN
-3029391238,4.66,4.66,4.66,4.66,NaN,NaN
-3021615238,4.6,4.6,4.6,4.6,NaN,NaN
-3019023238,4.48,4.48,4.48,4.48,NaN,NaN
-3016344838,4.46,4.46,4.46,4.46,NaN,NaN
-3013752838,4.46,4.46,4.46,4.46,NaN,NaN
-3008396038,4.54,4.54,4.54,4.54,NaN,NaN
-3005804038,4.53,4.53,4.53,4.53,NaN,NaN
-3000533638,4.54,4.54,4.54,4.54,NaN,NaN
-2997855238,4.54,4.54,4.54,4.54,NaN,NaN
-2995176838,4.53,4.53,4.53,4.53,NaN,NaN
-2992757638,4.59,4.59,4.59,4.59,NaN,NaN
-2990079238,4.65,4.65,4.65,4.65,NaN,NaN
-2984808838,4.38,4.38,4.38,4.38,NaN,NaN
-2982216838,4.39,4.39,4.39,4.39,NaN,NaN
-2976860038,4.37,4.37,4.37,4.37,NaN,NaN
-2974268038,4.3,4.3,4.3,4.3,NaN,NaN
-2971589638,4.37,4.37,4.37,4.37,NaN,NaN
-2968997638,4.37,4.37,4.37,4.37,NaN,NaN
-2963640838,4.52,4.52,4.52,4.52,NaN,NaN
-2961135238,4.51,4.51,4.51,4.51,NaN,NaN
