time,open,high,low,close,Volume,Volume MA
-3121407000,4.61,4.61,4.61,4.61,NaN,NaN
-3113717400,4.82,4.82,4.82,4.82,NaN,NaN
-3105768600,4.84,4.84,4.84,4.84,NaN,NaN
-3097819800,4.74,4.74,4.74,4.74,NaN,NaN
-3092549400,4.88,4.88,4.88,4.88,NaN,NaN
-3087365400,5.18,5.18,5.18,5.18,NaN,NaN
-3076824600,5.04,5.04,5.04,5.04,NaN,NaN
-3068875800,4.95,4.95,4.95,4.95,NaN,NaN
-3053151000,5.05,5.05,5.05,5.05,NaN,NaN
-3045288600,4.97,4.97,4.97,4.97,NaN,NaN
-3039931800,4.19,4.19,4.19,4.19,NaN,NaN
-3032069400,4.66,4.66,4.66,4.66,NaN,NaN
-3021615000,4.48,4.48,4.48,4.48,NaN,NaN
-3016344600,4.46,4.46,4.46,4.46,NaN,NaN
-3008395800,4.53,4.53,4.53,4.53,NaN,NaN
-3000533400,4.54,4.54,4.54,4.54,NaN,NaN
-2995176600,4.59,4.59,4.59,4.59,NaN,NaN
-2984808600,4.39,4.39,4.39,4.39,NaN,NaN
-2976859800,4.3,4.3,4.3,4.3,NaN,NaN
-2971589400,4.37,4.37,4.37,4.37,NaN,NaN
-2963640600,4.51,4.51,4.51,4.51,NaN,NaN
-2955864600,4.15,4.15,4.15,4.15,NaN,NaN
-2947915800,3.69,3.69,3.69,3.69,NaN,NaN
-2939967000,3.58,3.58,3.58,3.58,NaN,NaN
-2934696600,3.34,3.34,3.34,3.34,NaN,NaN
-2924328600,2.73,2.73,2.73,2.73,NaN,NaN
-2911109400,3.26,3.26,3.26,3.26,NaN,NaN
-2903160600,3.18,3.18,3.18,3.18,NaN,NaN
-2898063000,3.33,3.33,3.33,3.33,NaN,NaN
-2887522200,3.45,3.45,3.45,3.45,NaN,NaN
-2879573400,3.47,3.47,3.47,3.47,NaN,NaN
-2863848600,3.94,3.94,3.94,3.94,NaN,NaN
-2855986200,4.07,4.07,4.07,4.07,NaN,NaN
-2850629400,4.68,4.68,4.68,4.68,NaN,NaN
-2842767000,5.11,5.11,5.11,5.11,NaN,NaN
-2834904600,5.18,5.18,5.18,5.18,NaN,NaN
-2826955800,5.01,5.01,5.01,5.01,NaN,NaN
-2819007000,5.33,5.33,5.33,5.33,NaN,NaN
-2813736600,5.84,5.84,5.84,5.84,NaN,NaN
-2805787800,6.24,6.24,6.24,6.24,NaN,NaN
-2795419800,6.35,6.35,6.35,6.35,NaN,NaN
-2790149400,6.25,6.25,6.25,6.25,NaN,NaN
-2782200600,6.01,6.01,6.01,6.01,NaN,NaN
-2774251800,5.78,5.78,5.78,5.78,NaN,NaN
-2766562200,5.68,5.68,5.68,5.68,NaN,NaN
-2758613400,6.24,6.24,6.24,6.24,NaN,NaN
-2750664600,5.84,5.84,5.84,5.84,NaN,NaN
-2745394200,5.68,5.68,5.68,5.68,NaN,NaN
-2735026200,5.82,5.82,5.82,5.82,NaN,NaN
-2721807000,5.46,5.46,5.46,5.46,NaN,NaN
-2713858200,5.18,5.18,5.18,5.18,NaN,NaN
-2711179800,5.32,5.32,5.32,5.32,NaN,NaN
-2705995800,5.06,5.06,5.06,5.06,NaN,NaN
-2703403800,4.65,4.65,4.65,4.65,NaN,NaN
-2698133400,4.46,4.46,4.46,4.46,NaN,NaN
-2695455000,4.74,4.74,4.74,4.74,NaN,NaN
-2692776600,4.59,4.59,4.59,4.59,NaN,NaN
-2690184600,4.44,4.44,4.44,4.44,NaN,NaN
-2684914200,4.34,4.34,4.34,4.34,NaN,NaN
-2682235800,4.24,4.24,4.24,4.24,NaN,NaN
-2674459800,4.37,4.37,4.37,4.37,NaN,NaN
-2671867800,4.32,4.32,4.32,4.32,NaN,NaN
-2669189400,4.3,4.3,4.3,4.3,NaN,NaN
-2666597400,4.46,4.46,4.46,4.46,NaN,NaN
-2661240600,4.65,4.65,4.65,4.65,NaN,NaN
-2658648600,4.92,4.92,4.92,4.92,NaN,NaN
-2653378200,5.2,5.2,5.2,5.2,NaN,NaN
-2650699800,5.2,5.2,5.2,5.2,NaN,NaN
-2648021400,5.3,5.3,5.3,5.3,NaN,NaN
-2645602200,5.19,5.19,5.19,5.19,NaN,NaN
-2642923800,5.12,5.12,5.12,5.12,NaN,NaN
-2637653400,5.25,5.25,5.25,5.25,NaN,NaN
-2635061400,5.33,5.33,5.33,5.33,NaN,NaN
-2629704600,5.51,5.51,5.51,5.51,NaN,NaN
-2627112600,5.65,5.65,5.65,5.65,NaN,NaN
-2624434200,5.79,5.79,5.79,5.79,NaN,NaN
-2621842200,5.64,5.64,5.64,5.64,NaN,NaN
-2616485400,5.54,5.54,5.54,5.54,NaN,NaN
-2614066200,5.67,5.67,5.67,5.67,NaN,NaN
-2611387800,5.8,5.8,5.8,5.8,NaN,NaN
-2606117400,5.73,5.73,5.73,5.73,NaN,NaN
-2603525400,5.59,5.59,5.59,5.59,NaN,NaN
-2600847000,5.45,5.45,5.45,5.45,NaN,NaN
-2598168600,5.38,5.38,5.38,5.38,NaN,NaN
-2592898200,5.3,5.3,5.3,5.3,NaN,NaN
-2590306200,5.27,5.27,5.27,5.27,NaN,NaN
-2584949400,5.28,5.28,5.28,5.28,NaN,NaN
-2582443800,5.08,5.08,5.08,5.08,NaN,NaN
-2577173400,5.17,5.17,5.17,5.17,NaN,NaN
-2574495000,5.01,5.01,5.01,5.01,NaN,NaN
-2569224600,5.25,5.25,5.25,5.25,NaN,NaN
-2563954200,5.35,5.35,5.35,5.35,NaN,NaN
-2561275800,5.24,5.24,5.24,5.24,NaN,NaN
-2556005400,5.24,5.24,5.24,5.24,NaN,NaN
-2553327000,5.3,5.3,5.3,5.3,NaN,NaN
-2550907800,5.19,5.19,5.19,5.19,NaN,NaN
-2548229400,5.18,5.18,5.18,5.18,NaN,NaN
-2545637400,5.32,5.32,5.32,5.32,NaN,NaN
-2540367000,5.3,5.3,5.3,5.3,NaN,NaN
-2537688600,5.37,5.37,5.37,5.37,NaN,NaN
-2532418200,5.4,5.4,5.4,5.4,NaN,NaN
-2529739800,5.35,5.35,5.35,5.35,NaN,NaN
-2524469400,5.38,5.38,5.38,5.38,NaN,NaN
-2516693400,5.39,5.39,5.39,5.39,NaN,NaN
-2514101400,5.62,5.62,5.62,5.62,NaN,NaN
-2508831000,5.54,5.54,5.54,5.54,NaN,NaN
-2506152600,5.41,5.41,5.41,5.41,NaN,NaN
-2503474200,5.32,5.32,5.32,5.32,NaN,NaN
-2500882200,5.08,5.08,5.08,5.08,NaN,NaN
-2495611800,4.6,4.6,4.6,4.6,NaN,NaN
-2492933400,4.84,4.84,4.84,4.84,NaN,NaN
-2485157400,4.97,4.97,4.97,4.97,NaN,NaN
-2482565400,4.95,4.95,4.95,4.95,NaN,NaN
-2479887000,4.85,4.85,4.85,4.85,NaN,NaN
-2477295000,4.77,4.77,4.77,4.77,NaN,NaN
-2471938200,5.33,5.33,5.33,5.33,NaN,NaN
-2469346200,5.33,5.33,5.33,5.33,NaN,NaN
-2464075800,5.41,5.41,5.41,5.41,NaN,NaN
-2461397400,5.51,5.51,5.51,5.51,NaN,NaN
-2458719000,5.52,5.52,5.52,5.52,NaN,NaN
-2456213400,5.58,5.58,5.58,5.58,NaN,NaN
-2453535000,5.57,5.57,5.57,5.57,NaN,NaN
-2448264600,5.54,5.54,5.54,5.54,NaN,NaN
-2445672600,5.54,5.54,5.54,5.54,NaN,NaN
-2442994200,5.62,5.62,5.62,5.62,NaN,NaN
-2440315800,5.48,5.48,5.48,5.48,NaN,NaN
-2435045400,5.57,5.57,5.57,5.57,NaN,NaN
-2432453400,5.51,5.51,5.51,5.51,NaN,NaN
-2427096600,5.51,5.51,5.51,5.51,NaN,NaN
-2424677400,5.31,5.31,5.31,5.31,NaN,NaN
-2419407000,4.84,4.84,4.84,4.84,NaN,NaN
-2416728600,4.61,4.61,4.61,4.61,NaN,NaN
-2411458200,4.08,4.08,4.08,4.08,NaN,NaN
-2408779800,4.37,4.37,4.37,4.37,NaN,NaN
-2403509400,4.57,4.57,4.57,4.57,NaN,NaN
-2400917400,4.41,4.41,4.41,4.41,NaN,NaN
-2398239000,4.32,4.32,4.32,4.32,NaN,NaN
-2395560600,4.38,4.38,4.38,4.38,NaN,NaN
-2393141400,4.51,4.51,4.51,4.51,NaN,NaN
-2387871000,4.4,4.4,4.4,4.4,NaN,NaN
-2385192600,4.34,4.34,4.34,4.34,NaN,NaN
-2379922200,4.41,4.41,4.41,4.41,NaN,NaN
-2374651800,4.34,4.34,4.34,4.34,NaN,NaN
-2371973400,4.34,4.34,4.34,4.34,NaN,NaN
-2366703000,4.25,4.25,4.25,4.25,NaN,NaN
-2364024600,4.19,4.19,4.19,4.19,NaN,NaN
-2361605400,4.19,4.19,4.19,4.19,NaN,NaN
-2358927000,4.37,4.37,4.37,4.37,NaN,NaN
-2356335000,4.61,4.61,4.61,4.61,NaN,NaN
-2351064600,4.72,4.72,4.72,4.72,NaN,NaN
-2348386200,4.79,4.79,4.79,4.79,NaN,NaN
-2343115800,4.75,4.75,4.75,4.75,NaN,NaN
-2340437400,4.59,4.59,4.59,4.59,NaN,NaN
-2335167000,4.27,4.27,4.27,4.27,NaN,NaN
-2327304600,4.42,4.42,4.42,4.42,NaN,NaN
-2324712600,4.4,4.4,4.4,4.4,NaN,NaN
-2322034200,4.32,4.32,4.32,4.32,NaN,NaN
-2319442200,4.04,4.04,4.04,4.04,NaN,NaN
-2314085400,4.01,4.01,4.01,4.01,NaN,NaN
-2311493400,4.1,4.1,4.1,4.1,NaN,NaN
-2306223000,4.22,4.22,4.22,4.22,NaN,NaN
-2303544600,4.22,4.22,4.22,4.22,NaN,NaN
-2300866200,4.18,4.18,4.18,4.18,NaN,NaN
-2298447000,4.19,4.19,4.19,4.19,NaN,NaN
-2295768600,4.06,4.06,4.06,4.06,NaN,NaN
-2290498200,4.27,4.27,4.27,4.27,NaN,NaN
-2287906200,4.46,4.46,4.46,4.46,NaN,NaN
-2282549400,4.98,4.98,4.98,4.98,NaN,NaN
-2279957400,4.82,4.82,4.82,4.82,NaN,NaN
-2277279000,4.65,4.65,4.65,4.65,NaN,NaN
-2274687000,4.75,4.75,4.75,4.75,NaN,NaN
-2269330200,4.87,4.87,4.87,4.87,NaN,NaN
-2266911000,4.65,4.65,4.65,4.65,NaN,NaN
-2264232600,4.57,4.57,4.57,4.57,NaN,NaN
-2258962200,5.06,5.06,5.06,5.06,NaN,NaN
-2256370200,5.08,5.08,5.08,5.08,NaN,NaN
-2253691800,5.27,5.27,5.27,5.27,NaN,NaN
-2251013400,5.26,5.26,5.26,5.26,NaN,NaN
-2245743000,5.32,5.32,5.32,5.32,NaN,NaN
-2243151000,5.65,5.65,5.65,5.65,NaN,NaN
-2237794200,6.31,6.31,6.31,6.31,NaN,NaN
-2235375000,6.4,6.4,6.4,6.4,NaN,NaN
-2230104600,6.21,6.21,6.21,6.21,NaN,NaN
-2227426200,6.07,6.07,6.07,6.07,NaN,NaN
-2222155800,6.44,6.44,6.44,6.44,NaN,NaN
-2219477400,6.37,6.37,6.37,6.37,NaN,NaN
-2214207000,6.46,6.46,6.46,6.46,NaN,NaN
-2211615000,6.02,6.02,6.02,6.02,NaN,NaN
-2208936600,6.1,6.1,6.1,6.1,NaN,NaN
-2206258200,6.21,6.21,6.21,6.21,NaN,NaN
-2203839000,6.26,6.26,6.26,6.26,NaN,NaN
-2198568600,6.04,6.04,6.04,6.04,NaN,NaN
-2195890200,5.86,5.86,5.86,5.86,NaN,NaN
-2190619800,5.94,5.94,5.94,5.94,NaN,NaN
-2185349400,6.01,6.01,6.01,6.01,NaN,NaN
-2182671000,6.48,6.48,6.48,6.48,NaN,NaN
-2177400600,7.07,7.07,7.07,7.07,NaN,NaN
-2174722200,7.25,7.25,7.25,7.25,NaN,NaN
-2172303000,7.51,7.51,7.51,7.51,NaN,NaN
-2169624600,8.14,8.14,8.14,8.14,NaN,NaN
-2167032600,7.73,7.73,7.73,7.73,NaN,NaN
-2161762200,7.93,7.93,7.93,7.93,NaN,NaN
-2159083800,8.04,8.04,8.04,8.04,NaN,NaN
-2153813400,7.91,7.91,7.91,7.91,NaN,NaN
-2151135000,8.08,8.08,8.08,8.08,NaN,NaN
-2145864600,8.12,8.12,8.12,8.12,NaN,NaN
-2138088600,8.48,8.48,8.48,8.48,NaN,NaN
-2135496600,8.46,8.46,8.46,8.46,NaN,NaN
-2130226200,8.6,8.6,8.6,8.6,NaN,NaN
-2127547800,8.83,8.83,8.83,8.83,NaN,NaN
-2124869400,8.85,8.85,8.85,8.85,NaN,NaN
-2122277400,8.57,8.57,8.57,8.57,NaN,NaN
-2117007000,8.05,8.05,8.05,8.05,NaN,NaN
-2114328600,8.46,8.46,8.46,8.46,NaN,NaN
-2106552600,7.75,7.75,7.75,7.75,NaN,NaN
-2103960600,7.6,7.6,7.6,7.6,NaN,NaN
-2101282200,7.18,7.18,7.18,7.18,NaN,NaN
-2098690200,6.85,6.85,6.85,6.85,NaN,NaN
-2093333400,6.47,6.47,6.47,6.47,NaN,NaN
-2090741400,6.26,6.26,6.26,6.26,NaN,NaN
-2085471000,6.57,6.57,6.57,6.57,NaN,NaN
-2082792600,6.68,6.68,6.68,6.68,NaN,NaN
-2080114200,6.5,6.5,6.5,6.5,NaN,NaN
-2077608600,6.48,6.48,6.48,6.48,NaN,NaN
-2074930200,6.64,6.64,6.64,6.64,NaN,NaN
-2069659800,6.51,6.51,6.51,6.51,NaN,NaN
-2067067800,6.78,6.78,6.78,6.78,NaN,NaN
-2064389400,7.01,7.01,7.01,7.01,NaN,NaN
-2061711000,7.32,7.32,7.32,7.32,NaN,NaN
-2056440600,8.17,8.17,8.17,8.17,NaN,NaN
-2053848600,8.25,8.25,8.25,8.25,NaN,NaN
-2048491800,8.8,8.8,8.8,8.8,NaN,NaN
-2046072600,9.05,9.05,9.05,9.05,NaN,NaN
-2040802200,8.5,8.5,8.5,8.5,NaN,NaN
-2038123800,8.6,8.6,8.6,8.6,NaN,NaN
