time,open,high,low,close,Volume,Volume MA
1399383000,1883.69,1883.69,1873.78,1873.99,NaN,NaN
1399397400,1873.89,1874.34,1867.72,1867.72,NaN,NaN
1399469400,1868.53,1876.47,1859.79,1871.51,NaN,NaN
1399483800,1871.51,1878.83,1868.43,1878.21,NaN,NaN
1399555800,1877.39,1889.07,1874.55,1882.8,NaN,NaN
1399570200,1882.84,1883.73,1870.05,1875.63,NaN,NaN
1399642200,1875.27,1878.57,1867.02,1876.49,NaN,NaN
1399656600,1876.5,1878.57,1871.45,1878.48,NaN,NaN
1399901400,1880.03,1894.78,1880.03,1893.84,NaN,NaN
1399915800,1893.85,1897.13,1893.46,1896.65,NaN,NaN
1399987800,1896.75,1902.17,1896.38,1898.28,NaN,NaN
1400002200,1898.31,1898.68,1896.06,1897.45,NaN,NaN
1400074200,1897.13,1897.13,1891.46,1894.06,NaN,NaN
1400088600,1894.05,1894.21,1885.77,1888.53,NaN,NaN
1400160600,1888.16,1888.16,1862.36,1865.85,NaN,NaN
1400175000,1865.91,1872.49,1863.85,1870.85,NaN,NaN
1400247000,1871.19,1873.04,1864.82,1870.09,NaN,NaN
1400261400,1870.07,1878.28,1868.38,1877.86,NaN,NaN
1400506200,1876.66,1884.99,1872.42,1882.6,NaN,NaN
1400520600,1882.59,1886,1882.18,1885.08,NaN,NaN
1400592600,1884.88,1884.88,1870.91,1872.67,NaN,NaN
1400607000,1872.67,1875.89,1868.14,1872.83,NaN,NaN
1400679000,1873.34,1886.06,1873.34,1884.22,NaN,NaN
1400693400,1884.19,1888.8,1882.12,1888.03,NaN,NaN
1400765400,1888.19,1895.96,1885.39,1895.23,NaN,NaN
1400779800,1895.26,1896.33,1892.49,1892.49,NaN,NaN
1400851800,1893.32,1899.95,1893.32,1898.8,NaN,NaN
1400866200,1898.8,1901.26,1898.52,1900.53,NaN,NaN
1401197400,1902.01,1911.61,1902.01,1908.77,NaN,NaN
1401211800,1908.77,1912.28,1907.69,1911.91,NaN,NaN
1401283800,1911.77,1913.62,1907.3,1912.91,NaN,NaN
1401298200,1912.91,1914.46,1909.64,1909.78,NaN,NaN
1401370200,1910.6,1915.78,1909.82,1913.93,NaN,NaN
1401384600,1913.94,1920.03,1913.48,1920.03,NaN,NaN
1401456600,1920.33,1921.48,1916.64,1918.57,NaN,NaN
1401471000,1918.54,1924.03,1917.34,1923.57,NaN,NaN
1401715800,1923.87,1925.27,1916.04,1924.33,NaN,NaN
1401730200,1924.28,1925.88,1922.76,1924.73,NaN,NaN
1401802200,1923.07,1924.2,1918.83,1923.44,NaN,NaN
1401816600,1923.67,1925.07,1922.56,1924.1,NaN,NaN
1401888600,1923.06,1928.63,1918.77,1928.05,NaN,NaN
1401903000,1927.71,1928.53,1925.98,1927.92,NaN,NaN
1401975000,1928.52,1941.15,1922.93,1939.09,NaN,NaN
1401989400,1939.14,1941.74,1938.38,1940.19,NaN,NaN
1402061400,1942.41,1949.26,1942.41,1948.92,NaN,NaN
1402075800,1948.72,1949.05,1946.46,1948.45,NaN,NaN
1402320600,1948.97,1955.55,1948.29,1951.29,NaN,NaN
1402335000,1950.97,1951.93,1947.18,1950.63,NaN,NaN
1402407000,1950.34,1950.34,1944.98,1947.07,NaN,NaN
1402421400,1947.14,1950.73,1947.14,1949.99,NaN,NaN
1402493400,1949.37,1949.37,1942.18,1944.48,NaN,NaN
1402507800,1945,1945.85,1940.1,1943.44,NaN,NaN
1402579800,1943.35,1943.35,1932.86,1932.95,NaN,NaN
1402594200,1932.95,1932.95,1925.82,1930.19,NaN,NaN
1402666200,1930.8,1937.23,1927.75,1933.32,NaN,NaN
1402680600,1933.53,1937.3,1931.32,1934.91,NaN,NaN
1402925400,1934.84,1941.15,1931.23,1938.56,NaN,NaN
1402939800,1938.63,1939.76,1934.57,1937.62,NaN,NaN
1403011800,1937.15,1942.61,1933.58,1940.39,NaN,NaN
1403026200,1940.34,1943.69,1940.34,1942.06,NaN,NaN
1403098200,1942.73,1945.15,1939.66,1942.61,NaN,NaN
1403112600,1942.27,1957.74,1939.94,1957.1,NaN,NaN
1403184600,1957.5,1959.87,1952.45,1954,NaN,NaN
1403199000,1954.08,1959.36,1953.62,1958.58,NaN,NaN
1403271000,1960.45,1963.91,1959.17,1961.46,NaN,NaN
1403285400,1961.49,1963.29,1960.76,1962.87,NaN,NaN
1403530200,1962.92,1963.74,1958.89,1959.96,NaN,NaN
1403544600,1959.98,1962.9,1959.41,1962.61,NaN,NaN
1403616600,1961.97,1968.17,1958.94,1961.34,NaN,NaN
1403631000,1961.3,1962.15,1948.34,1949.98,NaN,NaN
1403703000,1949.27,1956.77,1947.49,1955.43,NaN,NaN
1403717400,1955.57,1960.83,1955.32,1959.53,NaN,NaN
1403789400,1959.89,1959.89,1944.69,1954.87,NaN,NaN
1403803800,1955.03,1957.51,1954.21,1957.22,NaN,NaN
1403875800,1956.56,1957.71,1952.18,1953.09,NaN,NaN
1403890200,1953.14,1961.47,1952.64,1960.97,NaN,NaN
1404135000,1960.79,1964.24,1958.41,1962.26,NaN,NaN
1404149400,1962.25,1963.59,1958.22,1960.23,NaN,NaN
1404221400,1962.29,1978.58,1962.29,1978.22,NaN,NaN
1404235800,1978.21,1978.26,1973.19,1973.32,NaN,NaN
1404307800,1973.06,1976.67,1972.72,1974.41,NaN,NaN
1404322200,1974.43,1974.62,1972.58,1974.62,NaN,NaN
1404394200,1975.88,1985.59,1975.88,1985.44,NaN,NaN
1404408600,1985.44,1985.44,1985.44,1985.44,NaN,NaN
1404739800,1984.22,1984.22,1975.23,1976.54,NaN,NaN
1404754200,1976.52,1978.85,1974.88,1977.65,NaN,NaN
1404826200,1976.39,1976.39,1959.46,1965.24,NaN,NaN
1404840600,1965.26,1967.56,1962.58,1963.71,NaN,NaN
1404912600,1965.1,1971.2,1965.1,1969.1,NaN,NaN
1404927000,1969.18,1974.15,1966.33,1972.83,NaN,NaN
1404999000,1966.67,1968.43,1952.86,1968.14,NaN,NaN
1405013400,1968.35,1969.84,1962.16,1964.68,NaN,NaN
1405085400,1965.76,1965.88,1959.63,1965.26,NaN,NaN
1405099800,1965.31,1968.67,1964.49,1967.57,NaN,NaN
1405344600,1969.86,1979.85,1969.86,1977.58,NaN,NaN
1405359000,1977.57,1978.44,1976.22,1977.1,NaN,NaN
1405431000,1977.36,1982.52,1965.34,1973.37,NaN,NaN
1405445400,1973.49,1976.16,1972.38,1973.28,NaN,NaN
1405517400,1976.35,1983.94,1975.67,1981.26,NaN,NaN
1405531800,1981.27,1982.45,1979.97,1981.57,NaN,NaN
1405603800,1979.75,1981.8,1965.95,1973.21,NaN,NaN
1405618200,1973.41,1974.19,1955.59,1958.12,NaN,NaN
1405690200,1961.54,1975.32,1960.82,1972.28,NaN,NaN
1405704600,1972.28,1979.91,1971.8,1978.22,NaN,NaN
1405949400,1976.93,1976.93,1965.77,1973.6,NaN,NaN
1405963800,1973.66,1975.83,1973.06,1973.63,NaN,NaN
1406035800,1975.65,1986.24,1975.65,1985.1,NaN,NaN
1406050200,1985.12,1985.35,1981.27,1983.53,NaN,NaN
1406122200,1985.32,1989.23,1982.44,1986.57,NaN,NaN
1406136600,1986.58,1988.73,1986.21,1987.01,NaN,NaN
1406208600,1988.07,1991.39,1985.86,1988.87,NaN,NaN
1406223000,1988.89,1990.24,1985.79,1987.96,NaN,NaN
1406295000,1984.6,1984.6,1974.37,1978.21,NaN,NaN
1406309400,1978.26,1979.47,1975.5,1978.34,NaN,NaN
1406554200,1978.25,1979,1967.31,1977.48,NaN,NaN
1406568600,1977.46,1981.52,1977.46,1978.91,NaN,NaN
1406640600,1980.03,1984.85,1973.53,1980.46,NaN,NaN
1406655000,1980.46,1980.57,1969.95,1969.95,NaN,NaN
1406727000,1973.21,1978.9,1962.42,1964.66,NaN,NaN
1406741400,1964.68,1976.24,1964.56,1970.07,NaN,NaN
1406813400,1965.14,1965.14,1937.46,1940.36,NaN,NaN
1406827800,1940.42,1944.19,1930.67,1930.67,NaN,NaN
1406899800,1929.8,1937.35,1916.37,1926.92,NaN,NaN
1406914200,1927.8,1932.05,1923.87,1925.15,NaN,NaN
1407159000,1926.62,1930.75,1921.2,1929.97,NaN,NaN
1407173400,1929.96,1942.92,1929.89,1938.99,NaN,NaN
1407245400,1936.34,1936.34,1926.21,1930.34,NaN,NaN
1407259800,1930.41,1930.55,1913.77,1920.21,NaN,NaN
1407331800,1917.29,1927.91,1911.45,1922.32,NaN,NaN
1407346200,1922.27,1923.23,1918.26,1920.24,NaN,NaN
1407418200,1923.03,1928.89,1908.24,1915.81,NaN,NaN
1407432600,1915.82,1917.9,1904.78,1909.57,NaN,NaN
1407504600,1910.35,1927.35,1909.01,1926.55,NaN,NaN
1407519000,1926.51,1932.38,1925.08,1931.59,NaN,NaN
1407763800,1933.43,1944.9,1933.43,1940.11,NaN,NaN
1407778200,1940.06,1940.93,1935.78,1936.92,NaN,NaN
1407850200,1935.73,1939.65,1929.43,1934.34,NaN,NaN
1407864600,1934.34,1935.3,1928.29,1933.75,NaN,NaN
1407936600,1935.6,1948.41,1935.6,1946.19,NaN,NaN
1407951000,1946.18,1947.44,1944.24,1946.72,NaN,NaN
1408023000,1947.41,1954.81,1947.41,1953.9,NaN,NaN
1408037400,1953.88,1955.23,1952.12,1955.18,NaN,NaN
1408109400,1958.87,1964.04,1941.5,1949.5,NaN,NaN
1408123800,1949.56,1956.26,1946.32,1955.06,NaN,NaN
1408368600,1958.36,1971.99,1958.36,1970.5,NaN,NaN
1408383000,1970.49,1971.73,1969.08,1971.73,NaN,NaN
1408455000,1972.73,1980.81,1972.73,1980.33,NaN,NaN
1408469400,1980.34,1982.57,1979.96,1981.6,NaN,NaN
1408541400,1980.46,1985.75,1977.68,1985.17,NaN,NaN
1408555800,1985.22,1988.57,1979.85,1986.51,NaN,NaN
1408627800,1986.82,1993.45,1986.82,1993.43,NaN,NaN
1408642200,1993.42,1994.76,1991.87,1992.38,NaN,NaN
